customer_id,active,churn_date
100001,1,
100002,1,
100003,1,
100004,1,
100005,1,
100006,1,
100007,1,
100008,1,
100009,1,
100010,1,
100011,1,
100012,1,
100013,1,
100014,1,
100015,1,
100016,1,
100017,1,
100018,1,
100019,0,2024-09-26
100020,1,
100021,1,
100022,1,
100023,1,
100024,1,
100025,1,
100026,0,2024-08-02
100027,1,
100028,1,
100029,1,
100030,1,
100031,1,
100032,1,
100033,0,2025-04-21
100034,0,2025-04-06
100035,1,
100036,1,
100037,1,
100038,1,
100039,1,
100040,1,
100041,1,
100042,0,2025-07-15
100043,1,
100044,1,
100045,1,
100046,0,2025-01-20
100047,1,
100048,1,
100049,1,
100050,1,
100051,1,
100052,1,
100053,1,
100054,1,
100055,1,
100056,1,
100057,1,
100058,0,2024-09-09
100059,1,
100060,1,
100061,1,
100062,1,
100063,1,
100064,1,
100065,0,2025-01-13
100066,1,
100067,0,2024-03-01
100068,1,
100069,1,
100070,1,
100071,1,
100072,0,2024-01-22
100073,1,
100074,1,
100075,1,
100076,0,2025-02-02
100077,1,
100078,0,2023-07-16
100079,1,
100080,1,
100081,0,2024-06-01
100082,1,
100083,0,2024-09-04
100084,1,
100085,1,
100086,1,
100087,1,
100088,1,
100089,1,
100090,1,
100091,1,
100092,1,
100093,1,
100094,1,
100095,1,
100096,0,2024-09-25
100097,1,
100098,1,
100099,1,
100100,1,
100101,1,
100102,1,
100103,1,
100104,1,
100105,1,
100106,1,
100107,1,
100108,1,
100109,1,
100110,1,
100111,1,
100112,1,
100113,1,
100114,0,2025-08-19
100115,0,2025-05-22
100116,0,2024-12-04
100117,1,
100118,0,2025-08-21
100119,1,
100120,1,
100121,1,
100122,1,
100123,1,
100124,1,
100125,1,
100126,1,
100127,1,
100128,1,
100129,0,2025-05-10
100130,1,
100131,1,
100132,0,2025-09-02
100133,1,
100134,1,
100135,1,
100136,1,
100137,1,
100138,1,
100139,1,
100140,1,
100141,1,
100142,1,
100143,1,
100144,1,
100145,1,
100146,1,
100147,1,
100148,0,2024-09-05
100149,1,
100150,1,
100151,1,
100152,1,
100153,1,
100154,1,
100155,1,
100156,0,2025-08-02
100157,1,
100158,0,2025-06-09
100159,0,2024-12-28
100160,1,
100161,1,
100162,1,
100163,1,
100164,0,2024-04-22
100165,0,2024-12-13
100166,1,
100167,1,
100168,1,
100169,1,
100170,0,2025-09-17
100171,1,
100172,1,
100173,1,
100174,1,
100175,1,
100176,0,2024-05-05
100177,0,2024-04-06
100178,0,2023-09-08
100179,0,2025-05-02
100180,1,
100181,1,
100182,0,2025-11-13
100183,0,2025-04-01
100184,1,
100185,1,
100186,1,
100187,0,2025-07-27
100188,0,2024-05-18
100189,1,
100190,1,
100191,0,2025-06-26
100192,1,
100193,1,
100194,1,
100195,1,
100196,1,
100197,1,
100198,1,
100199,0,2025-04-13
100200,1,
100201,1,
100202,1,
100203,1,
100204,1,
100205,1,
100206,1,
100207,1,
100208,1,
100209,1,
