customer_id,signup_date,industry,company_size,region,plan_type,acquisition_channel,lifetime_revenue,avg_monthly_revenue,total_refunds,total_upgrades,total_downgrades,months_billed,avg_monthly_logins,avg_active_days,avg_features_used,avg_session_minutes,last_month_logins,ticket_count,avg_resolution_hours,tickets_last_90_days,active,churn_date,churned,tenure_days,tenure_months,high_support_burden,customer_segment,rf_churn_prediction,rf_churn_probability
100001,2024-01-13,Retail,Small Business,South,Basic,Referral,1088.9,45.37083333333334,0,0,0,24,16.458333333333332,9.75,3.875,19.684583333333332,15,10,16.341428571428573,1,1,,0,718.0,23.587385019710904,1,0,1,0.6187562971458701
100002,2025-05-06,Retail,Mid-Market,West,Basic,Paid Search,647.1899999999999,80.89874999999999,0,0,0,8,19.875,12.75,4.375,23.95125,16,3,10.6,0,1,,0,239.0,7.851511169513797,0,1,1,0.6596975553299878
100003,2025-12-24,Manufacturing,Mid-Market,West,Basic,Referral,86.04,86.04,0,0,0,1,12.0,8.0,2.0,12.65,12,1,5.54,1,1,,0,7.0,0.22996057818659657,0,1,0,0.12850928111174267
100004,2023-02-10,Healthcare,Small Business,South,Pro,Organic Search,4722.39,134.92542857142857,0,1,1,35,22.114285714285714,12.2,5.588235294117647,21.680571428571426,7,10,9.682222222222222,1,1,,0,1055.0,34.65834428383705,1,0,0,0.1678079013450929
100005,2025-09-02,Retail,Small Business,South,Enterprise,Organic Search,1897.87,474.4675,0,0,0,4,21.75,13.0,6.5,23.1175,24,3,7.023333333333333,3,1,,0,120.0,3.9421813403416555,0,1,0,0.3777936644395938
100006,2023-12-29,Healthcare,Mid-Market,West,Pro,Partner,6412.4,256.496,0,0,0,25,25.48,15.12,6.52,25.3808,29,2,20.509999999999998,0,1,,0,733.0,24.080157687253614,0,2,0,0.30643712784531657
100007,2024-09-23,Technology,Small Business,South,Pro,Partner,2382.05,148.878125,0,0,0,16,21.5,15.0625,6.0,20.9625,10,2,21.575,0,1,,0,464.0,15.243101182654401,0,2,1,0.55987028929847
100008,2024-07-01,Technology,Small Business,Northeast,Pro,Paid Search,2619.73,145.54055555555556,0,0,0,18,21.166666666666668,13.333333333333334,5.333333333333333,22.612222222222222,11,4,16.767500000000002,0,1,,0,548.0,18.00262812089356,0,1,1,0.515829129604719
100009,2024-11-22,Healthcare,Mid-Market,West,Pro,Paid Search,3502.11,250.1507142857143,0,0,0,14,26.214285714285715,17.428571428571427,5.928571428571429,24.01571428571429,24,2,7.775,0,1,,0,404.0,13.272010512483574,0,2,0,0.40685167759122154
100010,2024-06-14,Finance,Mid-Market,West,Pro,Social,4952.77,260.6721052631579,0,0,0,19,21.789473684210527,13.789473684210526,5.947368421052632,24.95421052631579,15,2,7.615,1,1,,0,565.0,18.561103810775293,0,1,0,0.4177736015430469
